old_filepath,new_filepath,commitSHA,parentcommitSHA,commit_message,diff_myers1,diff_hist2,Discrepancy
README.md,README.md,9a1343878e8275dbb19d13776fce67755e1cb9f1,7931917a3f20ce0875e6246143dc522224c3bed2,Update README.md,"diff --git a/README.md b/README.md
index 569ed0c..f6c4d42 100644
--- a/README.md
+++ b/README.md
@@ -111,10 +111,6 @@ Our model and weights are licensed for both researchers and commercial entities,
 
 See the [LICENSE](..) file, as well as our accompanying [Acceptable Use Policy](USE_POLICY.md)
 
-## References
-
-1. [Research Paper](https://ai.meta.com/research/publications/llama-2-open-foundation-and-fine-tuned-chat-models/)
-2. [Llama 2 technical overview](https://ai.meta.com/resources/models-and-libraries/llama)
-3. [Open Innovation AI Research Community](https://ai.meta.com/llama/open-innovation-ai-research-community/)
+## Questions
 
 For common questions, the FAQ can be found [here](https://llama.meta.com/faq) which will be kept up to date over time as new questions arise. ","diff --git a/README.md b/README.md
index 569ed0c..f6c4d42 100644
--- a/README.md
+++ b/README.md
@@ -111,10 +111,6 @@ Our model and weights are licensed for both researchers and commercial entities,
 
 See the [LICENSE](..) file, as well as our accompanying [Acceptable Use Policy](USE_POLICY.md)
 
-## References
-
-1. [Research Paper](https://ai.meta.com/research/publications/llama-2-open-foundation-and-fine-tuned-chat-models/)
-2. [Llama 2 technical overview](https://ai.meta.com/resources/models-and-libraries/llama)
-3. [Open Innovation AI Research Community](https://ai.meta.com/llama/open-innovation-ai-research-community/)
+## Questions
 
 For common questions, the FAQ can be found [here](https://llama.meta.com/faq) which will be kept up to date over time as new questions arise. ",No
README.md,README.md,d9a94361e57bfaa08b54c3fd76037868dbe088c4,9a1343878e8275dbb19d13776fce67755e1cb9f1,Update README.md,"diff --git a/README.md b/README.md
index f6c4d42..8666be0 100644
--- a/README.md
+++ b/README.md
@@ -2,7 +2,7 @@
 
 We are unlocking the power of large language models. Our latest version of Llama is now accessible to individuals, creators, researchers, and businesses of all sizes so that they can experiment, innovate, and scale their ideas responsibly. 
 
-This release includes model weights and starting code for pre-trained and fine-tuned Llama language models — ranging from 7B to 70B parameters.
+This release includes model weights and starting code for pre-trained and instruction tuned Llama 3 language models — including sizes of 7B to 70B parameters.
 
 This repository is intended as a minimal example to load Llama 3 models and run inference. For more detailed examples, see [llama-recipes](https://github.com/facebookresearch/llama-recipes/).
 ","diff --git a/README.md b/README.md
index f6c4d42..8666be0 100644
--- a/README.md
+++ b/README.md
@@ -2,7 +2,7 @@
 
 We are unlocking the power of large language models. Our latest version of Llama is now accessible to individuals, creators, researchers, and businesses of all sizes so that they can experiment, innovate, and scale their ideas responsibly. 
 
-This release includes model weights and starting code for pre-trained and fine-tuned Llama language models — ranging from 7B to 70B parameters.
+This release includes model weights and starting code for pre-trained and instruction tuned Llama 3 language models — including sizes of 7B to 70B parameters.
 
 This repository is intended as a minimal example to load Llama 3 models and run inference. For more detailed examples, see [llama-recipes](https://github.com/facebookresearch/llama-recipes/).
 ",No
README.md,README.md,beb213ad429639c5574bbd6323fb4f25c5c606ab,d9a94361e57bfaa08b54c3fd76037868dbe088c4,Update README.md,"diff --git a/README.md b/README.md
index 8666be0..732a600 100644
--- a/README.md
+++ b/README.md
@@ -22,7 +22,7 @@ We are also providing downloads on [Hugging Face](https://huggingface.co/meta-ll
 
 ## Quick Start
 
-You can follow the steps below to quickly get up and running with Llama 2 models. These steps will let you run quick inference locally. For more examples, see the [Llama 2 recipes repository](https://github.com/facebookresearch/llama-recipes). 
+You can follow the steps below to quickly get up and running with Llama 2 models. These steps will let you run quick inference locally. For more examples, see the [Llama recipes repository](https://github.com/facebookresearch/llama-recipes). 
 
 1. In a conda env with PyTorch / CUDA available clone and download this repository.
 ","diff --git a/README.md b/README.md
index 8666be0..732a600 100644
--- a/README.md
+++ b/README.md
@@ -22,7 +22,7 @@ We are also providing downloads on [Hugging Face](https://huggingface.co/meta-ll
 
 ## Quick Start
 
-You can follow the steps below to quickly get up and running with Llama 2 models. These steps will let you run quick inference locally. For more examples, see the [Llama 2 recipes repository](https://github.com/facebookresearch/llama-recipes). 
+You can follow the steps below to quickly get up and running with Llama 2 models. These steps will let you run quick inference locally. For more examples, see the [Llama recipes repository](https://github.com/facebookresearch/llama-recipes). 
 
 1. In a conda env with PyTorch / CUDA available clone and download this repository.
 ",No
llama/__init__.py,llama/__init__.py,e2d3fd0e21f557942be2e1af70091c2e854d674d,3b97ea54f370e5f58f106ef170336b5619c8099b,Remove need for decode_message,"diff --git a/llama/__init__.py b/llama/__init__.py
index 17e02a5..9aa0c99 100644
--- a/llama/__init__.py
+++ b/llama/__init__.py
@@ -1,6 +1,6 @@
 # Copyright (c) Meta Platforms, Inc. and affiliates.
 # This software may be used and distributed according to the terms of the Llama 2 Community License Agreement.
 
-from .generation import Dialog, Llama
+from .generation import Llama
 from .model import ModelArgs, Transformer
-from .tokenizer import Tokenizer
+from .tokenizer import Dialog, Tokenizer","diff --git a/llama/__init__.py b/llama/__init__.py
index 17e02a5..9aa0c99 100644
--- a/llama/__init__.py
+++ b/llama/__init__.py
@@ -1,6 +1,6 @@
 # Copyright (c) Meta Platforms, Inc. and affiliates.
 # This software may be used and distributed according to the terms of the Llama 2 Community License Agreement.
 
-from .generation import Dialog, Llama
+from .generation import Llama
 from .model import ModelArgs, Transformer
-from .tokenizer import Tokenizer
+from .tokenizer import Dialog, Tokenizer",No
llama/generation.py,llama/generation.py,e2d3fd0e21f557942be2e1af70091c2e854d674d,3b97ea54f370e5f58f106ef170336b5619c8099b,Remove need for decode_message,"diff --git a/llama/generation.py b/llama/generation.py
index 584c0a3..f6d3bda 100644
--- a/llama/generation.py
+++ b/llama/generation.py
@@ -17,7 +17,7 @@ from fairscale.nn.model_parallel.initialize import (
 )
 
 from llama.model import ModelArgs, Transformer
-from llama.tokenizer import Dialog, Message, MessageFormat, Tokenizer
+from llama.tokenizer import Dialog, Message, ChatFormat, Tokenizer
 
 
 class CompletionPrediction(TypedDict, total=False):
@@ -109,7 +109,7 @@ class Llama:
     def __init__(self, model: Transformer, tokenizer: Tokenizer):
         self.model = model
         self.tokenizer = tokenizer
-        self.formatter = MessageFormat(tokenizer)
+        self.formatter = ChatFormat(tokenizer)
 
     @torch.inference_mode()
     def generate(
@@ -212,8 +212,8 @@ class Llama:
             for stop_token in self.tokenizer.stop_tokens:
                 try:
                     eos_idx = toks.index(stop_token)
-                    toks = toks[: eos_idx + 1]
-                    probs = probs[: eos_idx + 1] if logprobs else None
+                    toks = toks[: eos_idx]
+                    probs = probs[: eos_idx] if logprobs else None
                 except ValueError:
                     pass
             out_tokens.append(toks)
@@ -307,7 +307,7 @@ class Llama:
             max_gen_len = self.model.params.max_seq_len - 1
 
         prompt_tokens = [
-            self.formatter.encode_dialog(dialog, bos=True, eos=False)
+            self.formatter.encode_dialog_prompt(dialog)
             for dialog in dialogs
         ]
         generation_tokens, generation_logprobs = self.generate(
@@ -320,14 +320,22 @@ class Llama:
         if logprobs:
             return [
                 {
-                    ""generation"": self.formatter.decode_message(t).message,
+                    ""generation"": {
+                        ""role"": ""assistant"",
+                        ""content"": self.tokenizer.decode(t),
+                    },
                     ""tokens"": [self.tokenizer.decode([x]) for x in t],
                     ""logprobs"": logprobs_i,
                 }
                 for t, logprobs_i in zip(generation_tokens, generation_logprobs)
             ]
         return [
-            {""generation"": self.formatter.decode_message(t).message}
+            {
+                ""generation"": {
+                    ""role"": ""assistant"",
+                    ""content"": self.tokenizer.decode(t),
+                },
+            }
             for t in generation_tokens
         ]
 ","diff --git a/llama/generation.py b/llama/generation.py
index 584c0a3..f6d3bda 100644
--- a/llama/generation.py
+++ b/llama/generation.py
@@ -17,7 +17,7 @@ from fairscale.nn.model_parallel.initialize import (
 )
 
 from llama.model import ModelArgs, Transformer
-from llama.tokenizer import Dialog, Message, MessageFormat, Tokenizer
+from llama.tokenizer import Dialog, Message, ChatFormat, Tokenizer
 
 
 class CompletionPrediction(TypedDict, total=False):
@@ -109,7 +109,7 @@ class Llama:
     def __init__(self, model: Transformer, tokenizer: Tokenizer):
         self.model = model
         self.tokenizer = tokenizer
-        self.formatter = MessageFormat(tokenizer)
+        self.formatter = ChatFormat(tokenizer)
 
     @torch.inference_mode()
     def generate(
@@ -212,8 +212,8 @@ class Llama:
             for stop_token in self.tokenizer.stop_tokens:
                 try:
                     eos_idx = toks.index(stop_token)
-                    toks = toks[: eos_idx + 1]
-                    probs = probs[: eos_idx + 1] if logprobs else None
+                    toks = toks[: eos_idx]
+                    probs = probs[: eos_idx] if logprobs else None
                 except ValueError:
                     pass
             out_tokens.append(toks)
@@ -307,7 +307,7 @@ class Llama:
             max_gen_len = self.model.params.max_seq_len - 1
 
         prompt_tokens = [
-            self.formatter.encode_dialog(dialog, bos=True, eos=False)
+            self.formatter.encode_dialog_prompt(dialog)
             for dialog in dialogs
         ]
         generation_tokens, generation_logprobs = self.generate(
@@ -320,14 +320,22 @@ class Llama:
         if logprobs:
             return [
                 {
-                    ""generation"": self.formatter.decode_message(t).message,
+                    ""generation"": {
+                        ""role"": ""assistant"",
+                        ""content"": self.tokenizer.decode(t),
+                    },
                     ""tokens"": [self.tokenizer.decode([x]) for x in t],
                     ""logprobs"": logprobs_i,
                 }
                 for t, logprobs_i in zip(generation_tokens, generation_logprobs)
             ]
         return [
-            {""generation"": self.formatter.decode_message(t).message}
+            {
+                ""generation"": {
+                    ""role"": ""assistant"",
+                    ""content"": self.tokenizer.decode(t),
+                },
+            }
             for t in generation_tokens
         ]
 ",No
llama/tokenizer.py,llama/tokenizer.py,e2d3fd0e21f557942be2e1af70091c2e854d674d,3b97ea54f370e5f58f106ef170336b5619c8099b,Remove need for decode_message,"diff --git a/llama/tokenizer.py b/llama/tokenizer.py
index ee5acfd..7da5679 100644
--- a/llama/tokenizer.py
+++ b/llama/tokenizer.py
@@ -12,9 +12,7 @@ from typing import (
     Iterator,
     List,
     Literal,
-    NamedTuple,
     Sequence,
-    Tuple,
     TypedDict,
     Union,
 )
@@ -29,7 +27,7 @@ logger = getLogger(__name__)
 Role = Literal[""system"", ""user"", ""assistant""]
 
 
-class Message(TypedDict, total=False):
+class Message(TypedDict):
     role: Role
     content: str
 
@@ -202,16 +200,7 @@ class Tokenizer:
         yield s[slice_start:]
 
 
-class ParseError(ValueError):
-    pass
-
-
-class ParseResult(NamedTuple):
-    remainder: Sequence[int]
-    message: Message
-
-
-class MessageFormat:
+class ChatFormat:
     def __init__(self, tokenizer: Tokenizer):
         self.tokenizer = tokenizer
 
@@ -225,87 +214,22 @@ class MessageFormat:
 
     def encode_message(self, message: Message) -> List[int]:
         tokens = self.encode_header(message)
-        if message.get(""content"", """"):
-            tokens.extend(
-                self.tokenizer.encode(message[""content""].strip(), bos=False, eos=False)
-            )
+        tokens.extend(
+            self.tokenizer.encode(message[""content""].strip(), bos=False, eos=False)
+        )
         tokens.append(self.tokenizer.special_tokens[""<|eot_id|>""])
         return tokens
 
-    def encode_dialog(self, dialog: Dialog, *, bos: bool, eos: bool) -> List[int]:
+    def encode_dialog_prompt(self, dialog: Dialog) -> List[int]:
         tokens = []
-        if bos:
-            tokens.append(self.tokenizer.special_tokens[""<|begin_of_text|>""])
+        tokens.append(self.tokenizer.special_tokens[""<|begin_of_text|>""])
         for message in dialog:
             tokens.extend(self.encode_message(message))
-
-        if eos:
-            # Add EOS token at the end of this dialog if required
-            tokens.append(self.tokenizer.special_tokens[""<|end_of_text|>""])
-        elif dialog[-1][""role""] == ""assistant"":
-            # Remove <|eot_id|> if the last turn is from Assistant to allow completion
-            tokens.pop()
+        # If dialog does not end yet with a start of an assistant message to
+        # complete, we add it.
+        if not dialog or dialog[-1][""role""] != ""assistant"":
+            tokens.extend(self.encode_message({""role"": ""assistant"", ""content"": """"}))
+        # Remove <|eot_id|> from Assistant message to allow completion
+        eot_id = tokens.pop()
+        assert eot_id == self.tokenizer.special_tokens[""<|eot_id|>""]
         return tokens
-
-    def decode_header(self, tokens: Sequence[int]) -> ParseResult:
-        tokens, _ = self._take(tokens, ""<|start_header_id|>"")
-        tokens, tokens_role, _ = self._take_until(tokens, ""<|end_header_id|>"")
-        tokens, _ = self._take(tokens, ""\n\n"")
-        role = self.tokenizer.decode(tokens_role)
-        return ParseResult(tokens, {""role"": cast(Role, role)})
-
-    def decode_message(self, tokens: Sequence[int]) -> ParseResult:
-        tokens, message = self.decode_header(tokens)
-        # Try finding the eot, but if the message was cut short by max
-        # sequence length, assume the entire remainder is the message body.
-        try:
-            tokens, tokens_content, _ = self._take_until(tokens, ""<|eot_id|>"")
-        except ParseError:
-            tokens, tokens_content = [], tokens
-        message[""content""] = self.tokenizer.decode(tokens_content)
-        return ParseResult(tokens, message)
-
-    def _take(
-        self, tokens: Sequence[int], *expected_strs: str
-    ) -> Tuple[Sequence[int], Sequence[int]]:
-        """"""Assert that tokens starts with one of the expected sequences.""""""
-        for expected_str in expected_strs:
-            t = self.tokenizer.encode(
-                expected_str, bos=False, eos=False, allowed_special=""all""
-            )
-            if len(tokens) < len(t):
-                continue
-            if tokens[: len(t)] != t:
-                continue
-            return tokens[len(t) :], tokens[: len(t)]
-        raise ParseError(f""Expected any of {expected_strs!r}"")
-
-    def _take_until(
-        self, tokens: Sequence[int], *expected_strs: str
-    ) -> Tuple[Sequence[int], Sequence[int], Sequence[int]]:
-        """"""Take tokens from `tokens` until one of the expected sequences occurs.""""""
-        best = None
-        for expected_str in expected_strs:
-            t = self.tokenizer.encode(
-                expected_str, bos=False, eos=False, allowed_special=""all""
-            )
-            if len(tokens) < len(t):
-                continue
-
-            offset = 0
-            try:
-                while offset < len(tokens):
-                    offset = tokens.index(t[0], offset)
-                    if tokens[offset : offset + len(t)] == t:
-                        if best is None or offset < best[0]:
-                            best = (offset, t)
-                        break
-            except ValueError:
-                continue
-        if best is not None:
-            return (
-                tokens[best[0] + len(best[1]) :],  # next tokens
-                tokens[: best[0]],  # tokens up to found sequence,
-                tokens[best[0] : best[0] + len(best[1])],  # found sequence itself
-            )
-        raise ParseError(f""Expected tokens followed by any of {expected_strs!r}"")","diff --git a/llama/tokenizer.py b/llama/tokenizer.py
index ee5acfd..7da5679 100644
--- a/llama/tokenizer.py
+++ b/llama/tokenizer.py
@@ -12,9 +12,7 @@ from typing import (
     Iterator,
     List,
     Literal,
-    NamedTuple,
     Sequence,
-    Tuple,
     TypedDict,
     Union,
 )
@@ -29,7 +27,7 @@ logger = getLogger(__name__)
 Role = Literal[""system"", ""user"", ""assistant""]
 
 
-class Message(TypedDict, total=False):
+class Message(TypedDict):
     role: Role
     content: str
 
@@ -202,16 +200,7 @@ class Tokenizer:
         yield s[slice_start:]
 
 
-class ParseError(ValueError):
-    pass
-
-
-class ParseResult(NamedTuple):
-    remainder: Sequence[int]
-    message: Message
-
-
-class MessageFormat:
+class ChatFormat:
     def __init__(self, tokenizer: Tokenizer):
         self.tokenizer = tokenizer
 
@@ -225,87 +214,22 @@ class MessageFormat:
 
     def encode_message(self, message: Message) -> List[int]:
         tokens = self.encode_header(message)
-        if message.get(""content"", """"):
-            tokens.extend(
-                self.tokenizer.encode(message[""content""].strip(), bos=False, eos=False)
-            )
+        tokens.extend(
+            self.tokenizer.encode(message[""content""].strip(), bos=False, eos=False)
+        )
         tokens.append(self.tokenizer.special_tokens[""<|eot_id|>""])
         return tokens
 
-    def encode_dialog(self, dialog: Dialog, *, bos: bool, eos: bool) -> List[int]:
+    def encode_dialog_prompt(self, dialog: Dialog) -> List[int]:
         tokens = []
-        if bos:
-            tokens.append(self.tokenizer.special_tokens[""<|begin_of_text|>""])
+        tokens.append(self.tokenizer.special_tokens[""<|begin_of_text|>""])
         for message in dialog:
             tokens.extend(self.encode_message(message))
-
-        if eos:
-            # Add EOS token at the end of this dialog if required
-            tokens.append(self.tokenizer.special_tokens[""<|end_of_text|>""])
-        elif dialog[-1][""role""] == ""assistant"":
-            # Remove <|eot_id|> if the last turn is from Assistant to allow completion
-            tokens.pop()
+        # If dialog does not end yet with a start of an assistant message to
+        # complete, we add it.
+        if not dialog or dialog[-1][""role""] != ""assistant"":
+            tokens.extend(self.encode_message({""role"": ""assistant"", ""content"": """"}))
+        # Remove <|eot_id|> from Assistant message to allow completion
+        eot_id = tokens.pop()
+        assert eot_id == self.tokenizer.special_tokens[""<|eot_id|>""]
         return tokens
-
-    def decode_header(self, tokens: Sequence[int]) -> ParseResult:
-        tokens, _ = self._take(tokens, ""<|start_header_id|>"")
-        tokens, tokens_role, _ = self._take_until(tokens, ""<|end_header_id|>"")
-        tokens, _ = self._take(tokens, ""\n\n"")
-        role = self.tokenizer.decode(tokens_role)
-        return ParseResult(tokens, {""role"": cast(Role, role)})
-
-    def decode_message(self, tokens: Sequence[int]) -> ParseResult:
-        tokens, message = self.decode_header(tokens)
-        # Try finding the eot, but if the message was cut short by max
-        # sequence length, assume the entire remainder is the message body.
-        try:
-            tokens, tokens_content, _ = self._take_until(tokens, ""<|eot_id|>"")
-        except ParseError:
-            tokens, tokens_content = [], tokens
-        message[""content""] = self.tokenizer.decode(tokens_content)
-        return ParseResult(tokens, message)
-
-    def _take(
-        self, tokens: Sequence[int], *expected_strs: str
-    ) -> Tuple[Sequence[int], Sequence[int]]:
-        """"""Assert that tokens starts with one of the expected sequences.""""""
-        for expected_str in expected_strs:
-            t = self.tokenizer.encode(
-                expected_str, bos=False, eos=False, allowed_special=""all""
-            )
-            if len(tokens) < len(t):
-                continue
-            if tokens[: len(t)] != t:
-                continue
-            return tokens[len(t) :], tokens[: len(t)]
-        raise ParseError(f""Expected any of {expected_strs!r}"")
-
-    def _take_until(
-        self, tokens: Sequence[int], *expected_strs: str
-    ) -> Tuple[Sequence[int], Sequence[int], Sequence[int]]:
-        """"""Take tokens from `tokens` until one of the expected sequences occurs.""""""
-        best = None
-        for expected_str in expected_strs:
-            t = self.tokenizer.encode(
-                expected_str, bos=False, eos=False, allowed_special=""all""
-            )
-            if len(tokens) < len(t):
-                continue
-
-            offset = 0
-            try:
-                while offset < len(tokens):
-                    offset = tokens.index(t[0], offset)
-                    if tokens[offset : offset + len(t)] == t:
-                        if best is None or offset < best[0]:
-                            best = (offset, t)
-                        break
-            except ValueError:
-                continue
-        if best is not None:
-            return (
-                tokens[best[0] + len(best[1]) :],  # next tokens
-                tokens[: best[0]],  # tokens up to found sequence,
-                tokens[best[0] : best[0] + len(best[1])],  # found sequence itself
-            )
-        raise ParseError(f""Expected tokens followed by any of {expected_strs!r}"")",No
llama/tokenizer.py,llama/tokenizer.py,ba2dacb1e4071fe9c88612aca6bb2b1a74f152a5,e2d3fd0e21f557942be2e1af70091c2e854d674d,Just always assume an empty assistant prompt,"diff --git a/llama/tokenizer.py b/llama/tokenizer.py
index 7da5679..7137846 100644
--- a/llama/tokenizer.py
+++ b/llama/tokenizer.py
@@ -225,11 +225,6 @@ class ChatFormat:
         tokens.append(self.tokenizer.special_tokens[""<|begin_of_text|>""])
         for message in dialog:
             tokens.extend(self.encode_message(message))
-        # If dialog does not end yet with a start of an assistant message to
-        # complete, we add it.
-        if not dialog or dialog[-1][""role""] != ""assistant"":
-            tokens.extend(self.encode_message({""role"": ""assistant"", ""content"": """"}))
-        # Remove <|eot_id|> from Assistant message to allow completion
-        eot_id = tokens.pop()
-        assert eot_id == self.tokenizer.special_tokens[""<|eot_id|>""]
+        # Add the start of an assistant message for the model to complete
+        tokens.extend(self.encode_header({""role"": ""assistant"", ""content"": """"}))
         return tokens","diff --git a/llama/tokenizer.py b/llama/tokenizer.py
index 7da5679..7137846 100644
--- a/llama/tokenizer.py
+++ b/llama/tokenizer.py
@@ -225,11 +225,6 @@ class ChatFormat:
         tokens.append(self.tokenizer.special_tokens[""<|begin_of_text|>""])
         for message in dialog:
             tokens.extend(self.encode_message(message))
-        # If dialog does not end yet with a start of an assistant message to
-        # complete, we add it.
-        if not dialog or dialog[-1][""role""] != ""assistant"":
-            tokens.extend(self.encode_message({""role"": ""assistant"", ""content"": """"}))
-        # Remove <|eot_id|> from Assistant message to allow completion
-        eot_id = tokens.pop()
-        assert eot_id == self.tokenizer.special_tokens[""<|eot_id|>""]
+        # Add the start of an assistant message for the model to complete
+        tokens.extend(self.encode_header({""role"": ""assistant"", ""content"": """"}))
         return tokens",No
test_tokenizer.py,llama/test_tokenizer.py,a0f1b332a2f2d177e86f718ffc04c91543b8177d,99ebb4afb7e9cc1bb24816931bf03d8111228e85,move unit-tests,"diff --git a/llama/test_tokenizer.py b/llama/test_tokenizer.py
new file mode 100644
index 0000000..02cdee0
--- /dev/null
+++ b/llama/test_tokenizer.py
@@ -0,0 +1,85 @@
+import os
+from unittest import TestCase
+from llama.tokenizer import ChatFormat, Tokenizer
+
+# TOKENIZER_PATH=<path> python -m unittest llama/test_tokenizer.py
+
+class TokenizerTests(TestCase):
+    def setUp(self):
+        self.tokenizer = Tokenizer(os.environ[""TOKENIZER_PATH""])
+        self.format = ChatFormat(self.tokenizer)
+
+    def test_special_tokens(self):
+        self.assertEqual(
+            self.tokenizer.special_tokens[""<|begin_of_text|>""],
+            128000,
+        )
+
+    def test_encode(self):
+        self.assertEqual(
+            self.tokenizer.encode(
+                ""This is a test sentence."",
+                bos=True,
+                eos=True
+            ),
+            [128000, 2028, 374, 264, 1296, 11914, 13, 128001],
+        )
+
+    def test_decode(self):
+        self.assertEqual(
+            self.tokenizer.decode(
+                [128000, 2028, 374, 264, 1296, 11914, 13, 128001],
+            ),
+            ""<|begin_of_text|>This is a test sentence.<|end_of_text|>"",
+        )
+
+    def test_encode_message(self):
+        message = {
+            ""role"": ""user"",
+            ""content"": ""This is a test sentence."",
+        }
+        self.assertEqual(
+            self.format.encode_message(message),
+            [
+                128006,  # <|start_header_id|>
+                882,  # ""user""
+                128007,  # <|end_of_header|>
+                271,  # ""\n\n""
+                2028, 374, 264, 1296, 11914, 13,  # This is a test sentence.
+                128009,  # <|eot_id|>
+            ]
+        )
+
+    def test_encode_dialog(self):
+        dialog = [
+            {
+                ""role"": ""system"",
+                ""content"": ""This is a test sentence."",
+            },
+            {
+                ""role"": ""user"",
+                ""content"": ""This is a response."",
+            }
+        ]
+        self.assertEqual(
+            self.format.encode_dialog_prompt(dialog),
+            [
+                128000,  # <|begin_of_text|>
+                128006,  # <|start_header_id|>
+                9125,     # ""system""
+                128007,  # <|end_of_header|>
+                271,     # ""\n\n""
+                2028, 374, 264, 1296, 11914, 13,  # ""This is a test sentence.""
+                128009,  # <|eot_id|>
+                128006,  # <|start_header_id|>
+                882,     # ""user""
+                128007,  # <|end_of_header|>
+                271,     # ""\n\n""
+                2028, 374, 264, 2077, 13,  # ""This is a response."",
+                128009,  # <|eot_id|>
+                128006,  # <|start_header_id|>
+                78191,   # ""assistant""
+                128007,  # <|end_of_header|>
+                271,     # ""\n\n""
+            ]
+        )","diff --git a/llama/test_tokenizer.py b/llama/test_tokenizer.py
new file mode 100644
index 0000000..02cdee0
--- /dev/null
+++ b/llama/test_tokenizer.py
@@ -0,0 +1,85 @@
+import os
+from unittest import TestCase
+from llama.tokenizer import ChatFormat, Tokenizer
+
+# TOKENIZER_PATH=<path> python -m unittest llama/test_tokenizer.py
+
+class TokenizerTests(TestCase):
+    def setUp(self):
+        self.tokenizer = Tokenizer(os.environ[""TOKENIZER_PATH""])
+        self.format = ChatFormat(self.tokenizer)
+
+    def test_special_tokens(self):
+        self.assertEqual(
+            self.tokenizer.special_tokens[""<|begin_of_text|>""],
+            128000,
+        )
+
+    def test_encode(self):
+        self.assertEqual(
+            self.tokenizer.encode(
+                ""This is a test sentence."",
+                bos=True,
+                eos=True
+            ),
+            [128000, 2028, 374, 264, 1296, 11914, 13, 128001],
+        )
+
+    def test_decode(self):
+        self.assertEqual(
+            self.tokenizer.decode(
+                [128000, 2028, 374, 264, 1296, 11914, 13, 128001],
+            ),
+            ""<|begin_of_text|>This is a test sentence.<|end_of_text|>"",
+        )
+
+    def test_encode_message(self):
+        message = {
+            ""role"": ""user"",
+            ""content"": ""This is a test sentence."",
+        }
+        self.assertEqual(
+            self.format.encode_message(message),
+            [
+                128006,  # <|start_header_id|>
+                882,  # ""user""
+                128007,  # <|end_of_header|>
+                271,  # ""\n\n""
+                2028, 374, 264, 1296, 11914, 13,  # This is a test sentence.
+                128009,  # <|eot_id|>
+            ]
+        )
+
+    def test_encode_dialog(self):
+        dialog = [
+            {
+                ""role"": ""system"",
+                ""content"": ""This is a test sentence."",
+            },
+            {
+                ""role"": ""user"",
+                ""content"": ""This is a response."",
+            }
+        ]
+        self.assertEqual(
+            self.format.encode_dialog_prompt(dialog),
+            [
+                128000,  # <|begin_of_text|>
+                128006,  # <|start_header_id|>
+                9125,     # ""system""
+                128007,  # <|end_of_header|>
+                271,     # ""\n\n""
+                2028, 374, 264, 1296, 11914, 13,  # ""This is a test sentence.""
+                128009,  # <|eot_id|>
+                128006,  # <|start_header_id|>
+                882,     # ""user""
+                128007,  # <|end_of_header|>
+                271,     # ""\n\n""
+                2028, 374, 264, 2077, 13,  # ""This is a response."",
+                128009,  # <|eot_id|>
+                128006,  # <|start_header_id|>
+                78191,   # ""assistant""
+                128007,  # <|end_of_header|>
+                271,     # ""\n\n""
+            ]
+        )",No
example_chat_completion.py,example_chat_completion.py,ae0100d0c66b5441cf164d40d05032e831db752d,f1ce9b585f2703cd8d54ac2778c690e9231862f4,Update example_chat_completion.py,"diff --git a/example_chat_completion.py b/example_chat_completion.py
index f0cde79..6e85c36 100644
--- a/example_chat_completion.py
+++ b/example_chat_completion.py
@@ -1,5 +1,5 @@
 # Copyright (c) Meta Platforms, Inc. and affiliates.
-# This software may be used and distributed according to the terms of the Llama 2 Community License Agreement.
+# This software may be used and distributed according to the terms of the Llama 3 Community License Agreement.
 
 from typing import List, Optional
 ","diff --git a/example_chat_completion.py b/example_chat_completion.py
index f0cde79..6e85c36 100644
--- a/example_chat_completion.py
+++ b/example_chat_completion.py
@@ -1,5 +1,5 @@
 # Copyright (c) Meta Platforms, Inc. and affiliates.
-# This software may be used and distributed according to the terms of the Llama 2 Community License Agreement.
+# This software may be used and distributed according to the terms of the Llama 3 Community License Agreement.
 
 from typing import List, Optional
 ",No
example_text_completion.py,example_text_completion.py,fcce4b37ce5affdf9c4f30823949a9e363e5ec02,ae0100d0c66b5441cf164d40d05032e831db752d,Update example_text_completion.py,"diff --git a/example_text_completion.py b/example_text_completion.py
index c174bb2..41cdd9e 100644
--- a/example_text_completion.py
+++ b/example_text_completion.py
@@ -1,5 +1,5 @@
 # Copyright (c) Meta Platforms, Inc. and affiliates.
-# This software may be used and distributed according to the terms of the Llama 2 Community License Agreement.
+# This software may be used and distributed according to the terms of the Llama 3 Community License Agreement.
 
 from typing import List
 ","diff --git a/example_text_completion.py b/example_text_completion.py
index c174bb2..41cdd9e 100644
--- a/example_text_completion.py
+++ b/example_text_completion.py
@@ -1,5 +1,5 @@
 # Copyright (c) Meta Platforms, Inc. and affiliates.
-# This software may be used and distributed according to the terms of the Llama 2 Community License Agreement.
+# This software may be used and distributed according to the terms of the Llama 3 Community License Agreement.
 
 from typing import List
 ",No
